Date,Station,OrigTaxon,Taxon,Biovolume_per_mL,Cells_per_mL,Units_per_mL,Comments,QualityCheck,Debris,Kingdom,Phylum,Class,AlgalGroup,Genus,Species,CurrentTaxon
2023-05-01,A,Unknown flagellate,Unknown flagellate,120.4,3672,262,delete this row,BadData MultipleSizes,,Unknown flagellate,Unknown,Unknown,Unknown,Unknown,flagellate,NA
2023-05-01,B,Lohmanniella sp.,Lohmanniella sp.,19.4,2786,137,cross contamination noted,CrossContamination,,Protozoa,Ciliophora,Oligohymenophorea,Ciliates,Lohmanniella,sp.,None
2023-05-16,A,Hemidiscus cuneiformis var. ventricosus,Actinocyclus cuneiformis,50.1,2378,80,CNMT > 5 on recount,TallyNotMet_Over5,,Chromista,Bacillariophyta,Coscinodiscophyceae,Centric Diatoms,Actinocyclus,cuneiformis,None
2023-05-16,B,Melosira cf. granulata,Aulacoseira cf. granulata,37.7,2597,121,did not reach natural unit,TallyNotMet,,Chromista,Bacillariophyta,Coscinodiscophyceae,Centric Diatoms,Aulacoseira,granulata,None
2023-05-31,A,Melosira granulata,Aulacoseira granulata,50.6,1287,95,degraded sample quality,Degraded,,Chromista,Bacillariophyta,Coscinodiscophyceae,Centric Diatoms,Aulacoseira,granulata,None
2023-05-31,B,Snowella sp.,Snowella sp.,50.7,751,24,weak preservation and fungus present,PoorlyPreserved,,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Snowella,sp.,None
2023-06-15,A,Chlamydonephris pomiformis,Chlamydonephris pomiformis,49.7,694,75,many broken diatoms and obscured view,Obscured BrokenDiatoms,,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlamydonephris,pomiformis,None
2023-06-15,B,Cryptomonas sp.,Cryptomonas sp.,34.1,2046,133,moderate detritus in field,,moderate,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Cryptomonas,sp.,None
2023-06-30,A,Dinobryon sp.,Dinobryon sp.,54.8,690,51,high sediment levels,,high,Chromista,Bacillariophyta,Chrysophyceae,Chrysophytes,Dinobryon,sp.,None
2023-06-30,B,Example species,Example species,32.3,1109,79,low detritus and light sediment,,low,NA,NA,NA,NA,NA,NA,NA
2023-07-15,A,Unknown flagellate,Unknown flagellate,37.8,1256,25,delete this row,BadData,,Unknown flagellate,Unknown,Unknown,Unknown,Unknown,flagellate,NA
2023-07-15,B,Lohmanniella sp.,Lohmanniella sp.,53.6,908,130,cross contamination noted,CrossContamination,,Protozoa,Ciliophora,Oligohymenophorea,Ciliates,Lohmanniella,sp.,None
2023-07-30,A,Hemidiscus cuneiformis var. ventricosus,Actinocyclus cuneiformis,41.8,2787,60,CNMT > 5 on recount,TallyNotMet_Over5,,Chromista,Bacillariophyta,Coscinodiscophyceae,Centric Diatoms,Actinocyclus,cuneiformis,None
2023-07-30,B,Melosira cf. granulata,Aulacoseira cf. granulata,34.1,1968,105,did not reach natural unit,TallyNotMet,,Chromista,Bacillariophyta,Coscinodiscophyceae,Centric Diatoms,Aulacoseira,granulata,None
2023-08-14,A,Melosira granulata,Aulacoseira granulata,16.6,2142,33,degraded sample quality,Degraded,,Chromista,Bacillariophyta,Coscinodiscophyceae,Centric Diatoms,Aulacoseira,granulata,None
2023-08-14,B,Snowella sp.,Snowella sp.,34.9,850,89,weak preservation and fungus present,PoorlyPreserved,,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Snowella,sp.,None
2023-08-29,A,Chlamydonephris pomiformis,Chlamydonephris pomiformis,20.9,2040,129,many broken diatoms and obscured view,Obscured BrokenDiatoms,,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlamydonephris,pomiformis,None
2023-08-29,B,Cryptomonas sp.,Cryptomonas sp.,12.1,582,52,moderate detritus in field,,moderate,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Cryptomonas,sp.,None
2023-09-13,A,Dinobryon sp.,Dinobryon sp.,35.8,2890,63,high sediment levels,,high,Chromista,Bacillariophyta,Chrysophyceae,Chrysophytes,Dinobryon,sp.,None
2023-09-13,B,Example species,Example species,27.8,969,85,low detritus and light sediment,,low,NA,NA,NA,NA,NA,NA,NA
